
1686118775616 :: quotes :: {'symbols': 'NSE:SBIN-EQ'} :: 1686118775896 :: {'code': 200, 'd': [{'n': 'NSE:SBIN-EQ', 's': 'ok', 'v': {'ask': 588.05, 'bid': 588, 'ch': 2.7, 'chp': 0.46, 'cmd': {'c': 588.05, 'h': 588.2, 'l': 588, 'o': 588.1, 't': 1686118740, 'tf': '11:49', 'v': 1951}, 'description': 'NSE:SBIN-EQ', 'exchange': 'NSE', 'fyToken': '10100000003045', 'high_price': 589.3, 'low_price': 586, 'lp': 588.05, 'open_price': 588, 'original_name': 'NSE:SBIN-EQ', 'prev_close_price': 585.35, 'short_name': 'SBIN-EQ', 'spread': 0.05, 'symbol': 'NSE:SBIN-EQ', 'tt': '1686096000', 'volume': 4481100}}], 'message': '', 's': 'ok'}

1686119234385 :: quotes :: {'symbols': 'NSE:SBIN-EQ'} :: 1686119234639 :: {'code': 200, 'd': [{'n': 'NSE:SBIN-EQ', 's': 'ok', 'v': {'ask': 588.5, 'bid': 588.45, 'ch': 3.15, 'chp': 0.54, 'cmd': {'c': 588.5, 'h': 588.55, 'l': 588.5, 'o': 588.5, 't': 1686119220, 'tf': '11:57', 'v': 2294}, 'description': 'NSE:SBIN-EQ', 'exchange': 'NSE', 'fyToken': '10100000003045', 'high_price': 589.3, 'low_price': 586, 'lp': 588.5, 'open_price': 588, 'original_name': 'NSE:SBIN-EQ', 'prev_close_price': 585.35, 'short_name': 'SBIN-EQ', 'spread': 0.05, 'symbol': 'NSE:SBIN-EQ', 'tt': '1686096000', 'volume': 4624534}}], 'message': '', 's': 'ok'}

1686119234639 :: quotes :: {'symbols': 'NSE:SBIN-EQ'} :: 1686119234808 :: {'code': 200, 'd': [{'n': 'NSE:SBIN-EQ', 's': 'ok', 'v': {'ask': 588.5, 'bid': 588.45, 'ch': 3.15, 'chp': 0.54, 'cmd': {'c': 588.5, 'h': 588.55, 'l': 588.5, 'o': 588.5, 't': 1686119220, 'tf': '11:57', 'v': 2294}, 'description': 'NSE:SBIN-EQ', 'exchange': 'NSE', 'fyToken': '10100000003045', 'high_price': 589.3, 'low_price': 586, 'lp': 588.5, 'open_price': 588, 'original_name': 'NSE:SBIN-EQ', 'prev_close_price': 585.35, 'short_name': 'SBIN-EQ', 'spread': 0.05, 'symbol': 'NSE:SBIN-EQ', 'tt': '1686096000', 'volume': 4624534}}], 'message': '', 's': 'ok'}

1686119234808 :: quotes :: {'symbols': 'NSE:SBIN-EQ'} :: 1686119234973 :: {'code': 200, 'd': [{'n': 'NSE:SBIN-EQ', 's': 'ok', 'v': {'ask': 588.5, 'bid': 588.45, 'ch': 3.15, 'chp': 0.54, 'cmd': {'c': 588.5, 'h': 588.55, 'l': 588.5, 'o': 588.5, 't': 1686119220, 'tf': '11:57', 'v': 2294}, 'description': 'NSE:SBIN-EQ', 'exchange': 'NSE', 'fyToken': '10100000003045', 'high_price': 589.3, 'low_price': 586, 'lp': 588.5, 'open_price': 588, 'original_name': 'NSE:SBIN-EQ', 'prev_close_price': 585.35, 'short_name': 'SBIN-EQ', 'spread': 0.05, 'symbol': 'NSE:SBIN-EQ', 'tt': '1686096000', 'volume': 4624534}}], 'message': '', 's': 'ok'}

1686119234974 :: quotes :: {'symbols': 'NSE:SBIN-EQ'} :: 1686119235154 :: {'code': 200, 'd': [{'n': 'NSE:SBIN-EQ', 's': 'ok', 'v': {'ask': 588.5, 'bid': 588.45, 'ch': 3.15, 'chp': 0.54, 'cmd': {'c': 588.5, 'h': 588.55, 'l': 588.5, 'o': 588.5, 't': 1686119220, 'tf': '11:57', 'v': 2294}, 'description': 'NSE:SBIN-EQ', 'exchange': 'NSE', 'fyToken': '10100000003045', 'high_price': 589.3, 'low_price': 586, 'lp': 588.5, 'open_price': 588, 'original_name': 'NSE:SBIN-EQ', 'prev_close_price': 585.35, 'short_name': 'SBIN-EQ', 'spread': 0.05, 'symbol': 'NSE:SBIN-EQ', 'tt': '1686096000', 'volume': 4624534}}], 'message': '', 's': 'ok'}

1686119235154 :: quotes :: {'symbols': 'NSE:SBIN-EQ'} :: 1686119235322 :: {'code': 200, 'd': [{'n': 'NSE:SBIN-EQ', 's': 'ok', 'v': {'ask': 588.5, 'bid': 588.45, 'ch': 3.15, 'chp': 0.54, 'cmd': {'c': 588.5, 'h': 588.55, 'l': 588.5, 'o': 588.5, 't': 1686119220, 'tf': '11:57', 'v': 2294}, 'description': 'NSE:SBIN-EQ', 'exchange': 'NSE', 'fyToken': '10100000003045', 'high_price': 589.3, 'low_price': 586, 'lp': 588.5, 'open_price': 588, 'original_name': 'NSE:SBIN-EQ', 'prev_close_price': 585.35, 'short_name': 'SBIN-EQ', 'spread': 0.05, 'symbol': 'NSE:SBIN-EQ', 'tt': '1686096000', 'volume': 4624534}}], 'message': '', 's': 'ok'}

1686119235323 :: quotes :: {'symbols': 'NSE:SBIN-EQ'} :: 1686119235498 :: {'code': 200, 'd': [{'n': 'NSE:SBIN-EQ', 's': 'ok', 'v': {'ask': 588.6, 'bid': 588.5, 'ch': 3.25, 'chp': 0.56, 'cmd': {'c': 588.6, 'h': 588.6, 'l': 588.5, 'o': 588.5, 't': 1686119220, 'tf': '11:57', 'v': 2768}, 'description': 'NSE:SBIN-EQ', 'exchange': 'NSE', 'fyToken': '10100000003045', 'high_price': 589.3, 'low_price': 586, 'lp': 588.6, 'open_price': 588, 'original_name': 'NSE:SBIN-EQ', 'prev_close_price': 585.35, 'short_name': 'SBIN-EQ', 'spread': 0.1, 'symbol': 'NSE:SBIN-EQ', 'tt': '1686096000', 'volume': 4625008}}], 'message': '', 's': 'ok'}

1686119235498 :: quotes :: {'symbols': 'NSE:SBIN-EQ'} :: 1686119235675 :: {'code': 200, 'd': [{'n': 'NSE:SBIN-EQ', 's': 'ok', 'v': {'ask': 588.6, 'bid': 588.5, 'ch': 3.25, 'chp': 0.56, 'cmd': {'c': 588.6, 'h': 588.6, 'l': 588.5, 'o': 588.5, 't': 1686119220, 'tf': '11:57', 'v': 2768}, 'description': 'NSE:SBIN-EQ', 'exchange': 'NSE', 'fyToken': '10100000003045', 'high_price': 589.3, 'low_price': 586, 'lp': 588.6, 'open_price': 588, 'original_name': 'NSE:SBIN-EQ', 'prev_close_price': 585.35, 'short_name': 'SBIN-EQ', 'spread': 0.1, 'symbol': 'NSE:SBIN-EQ', 'tt': '1686096000', 'volume': 4625008}}], 'message': '', 's': 'ok'}

1686119235675 :: quotes :: {'symbols': 'NSE:SBIN-EQ'} :: 1686119235868 :: {'code': 200, 'd': [{'n': 'NSE:SBIN-EQ', 's': 'ok', 'v': {'ask': 588.6, 'bid': 588.5, 'ch': 3.25, 'chp': 0.56, 'cmd': {'c': 588.6, 'h': 588.6, 'l': 588.5, 'o': 588.5, 't': 1686119220, 'tf': '11:57', 'v': 2768}, 'description': 'NSE:SBIN-EQ', 'exchange': 'NSE', 'fyToken': '10100000003045', 'high_price': 589.3, 'low_price': 586, 'lp': 588.6, 'open_price': 588, 'original_name': 'NSE:SBIN-EQ', 'prev_close_price': 585.35, 'short_name': 'SBIN-EQ', 'spread': 0.1, 'symbol': 'NSE:SBIN-EQ', 'tt': '1686096000', 'volume': 4625008}}], 'message': '', 's': 'ok'}

1686119235868 :: quotes :: {'symbols': 'NSE:SBIN-EQ'} :: 1686119236035 :: {'code': 200, 'd': [{'n': 'NSE:SBIN-EQ', 's': 'ok', 'v': {'ask': 588.6, 'bid': 588.5, 'ch': 3.25, 'chp': 0.56, 'cmd': {'c': 588.6, 'h': 588.6, 'l': 588.5, 'o': 588.5, 't': 1686119220, 'tf': '11:57', 'v': 2768}, 'description': 'NSE:SBIN-EQ', 'exchange': 'NSE', 'fyToken': '10100000003045', 'high_price': 589.3, 'low_price': 586, 'lp': 588.6, 'open_price': 588, 'original_name': 'NSE:SBIN-EQ', 'prev_close_price': 585.35, 'short_name': 'SBIN-EQ', 'spread': 0.1, 'symbol': 'NSE:SBIN-EQ', 'tt': '1686096000', 'volume': 4625008}}], 'message': '', 's': 'ok'}

1686119236035 :: quotes :: {'symbols': 'NSE:SBIN-EQ'} :: 1686119236243 :: {'code': 200, 'd': [{'n': 'NSE:SBIN-EQ', 's': 'ok', 'v': {'ask': 588.6, 'bid': 588.5, 'ch': 3.25, 'chp': 0.56, 'cmd': {'c': 588.6, 'h': 588.6, 'l': 588.5, 'o': 588.5, 't': 1686119220, 'tf': '11:57', 'v': 2768}, 'description': 'NSE:SBIN-EQ', 'exchange': 'NSE', 'fyToken': '10100000003045', 'high_price': 589.3, 'low_price': 586, 'lp': 588.10, 'open_price': 588, 'original_name': 'NSE:SBIN-EQ', 'prev_close_price': 585.35, 'short_name': 'SBIN-EQ', 'spread': 0.1, 'symbol': 'NSE:SBIN-EQ', 'tt': '1686096000', 'volume': 4625008}}], 'message': '', 's': 'ok'}
