
1687787952923 :: quotes :: {'symbols': 'MCX:SILVER23JULFUT'} :: 1687787953045 :: {'code': 200, 'd': [{'n': 'MCX:SILVER23JULFUT', 's': 'ok', 'v': {'ask': 69011, 'bid': 69001, 'ch': 915, 'chp': 1.34, 'cmd': {'c': 68998, 'h': 68998, 'l': 68994, 'o': 68994, 't': 1687787940, 'tf': '19:29', 'v': 3}, 'description': 'MCX:SILVER23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230705244731', 'high_price': 69462, 'low_price': 68599, 'lp': 68998, 'open_price': 68599, 'original_name': 'MCX:SILVER23JULFUT', 'prev_close_price': 68083, 'short_name': 'SILVER23JULFUT', 'spread': 10, 'symbol': 'MCX:SILVER23JULFUT', 'tt': '1687737600', 'volume': 10976}}], 'message': '', 's': 'ok'}

1687788098502 :: quotes :: {'symbols': 'MCX:SILVER23JULFUT'} :: 1687788098612 :: {'code': 200, 'd': [{'n': 'MCX:SILVER23JULFUT', 's': 'ok', 'v': {'ask': 68997, 'bid': 68983, 'ch': 903, 'chp': 1.33, 'cmd': {'c': 68986, 'h': 68987, 'l': 68984, 'o': 68987, 't': 1687788060, 'tf': '19:31', 'v': 3}, 'description': 'MCX:SILVER23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230705244731', 'high_price': 69462, 'low_price': 68599, 'lp': 68986, 'open_price': 68599, 'original_name': 'MCX:SILVER23JULFUT', 'prev_close_price': 68083, 'short_name': 'SILVER23JULFUT', 'spread': 14, 'symbol': 'MCX:SILVER23JULFUT', 'tt': '1687737600', 'volume': 11038}}], 'message': '', 's': 'ok'}

1687788113582 :: quotes :: {'symbols': 'MCX:SILVER23JULFUT'} :: 1687788113675 :: {'code': 200, 'd': [{'n': 'MCX:SILVER23JULFUT', 's': 'ok', 'v': {'ask': 69011, 'bid': 69001, 'ch': 917, 'chp': 1.35, 'cmd': {'c': 69000, 'h': 69000, 'l': 68984, 'o': 68987, 't': 1687788060, 'tf': '19:31', 'v': 10}, 'description': 'MCX:SILVER23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230705244731', 'high_price': 69462, 'low_price': 68599, 'lp': 69000, 'open_price': 68599, 'original_name': 'MCX:SILVER23JULFUT', 'prev_close_price': 68083, 'short_name': 'SILVER23JULFUT', 'spread': 10, 'symbol': 'MCX:SILVER23JULFUT', 'tt': '1687737600', 'volume': 11045}}], 'message': '', 's': 'ok'}

1687788124451 :: quotes :: {'symbols': 'MCX:SILVER23JULFUT'} :: 1687788124545 :: {'code': 200, 'd': [{'n': 'MCX:SILVER23JULFUT', 's': 'ok', 'v': {'ask': 68994, 'bid': 68981, 'ch': 907, 'chp': 1.33, 'cmd': {'c': 68990, 'h': 68990, 'l': 68990, 'o': 68990, 't': 1687788120, 'tf': '19:32', 'v': 0}, 'description': 'MCX:SILVER23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230705244731', 'high_price': 69462, 'low_price': 68599, 'lp': 68990, 'open_price': 68599, 'original_name': 'MCX:SILVER23JULFUT', 'prev_close_price': 68083, 'short_name': 'SILVER23JULFUT', 'spread': 13, 'symbol': 'MCX:SILVER23JULFUT', 'tt': '1687737600', 'volume': 11050}}], 'message': '', 's': 'ok'}

1687788135364 :: quotes :: {'symbols': 'MCX:SILVER23JULFUT'} :: 1687788135504 :: {'code': 200, 'd': [{'n': 'MCX:SILVER23JULFUT', 's': 'ok', 'v': {'ask': 68981, 'bid': 68975, 'ch': 907, 'chp': 1.33, 'cmd': {'c': 68990, 'h': 68990, 'l': 68990, 'o': 68990, 't': 1687788120, 'tf': '19:32', 'v': 0}, 'description': 'MCX:SILVER23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230705244731', 'high_price': 69462, 'low_price': 68599, 'lp': 68990, 'open_price': 68599, 'original_name': 'MCX:SILVER23JULFUT', 'prev_close_price': 68083, 'short_name': 'SILVER23JULFUT', 'spread': 6, 'symbol': 'MCX:SILVER23JULFUT', 'tt': '1687737600', 'volume': 11050}}], 'message': '', 's': 'ok'}

1687788146566 :: quotes :: {'symbols': 'MCX:SILVER23JULFUT'} :: 1687788146675 :: {'code': 200, 'd': [{'n': 'MCX:SILVER23JULFUT', 's': 'ok', 'v': {'ask': 68951, 'bid': 68936, 'ch': 836, 'chp': 1.23, 'cmd': {'c': 68919, 'h': 68990, 'l': 68919, 'o': 68990, 't': 1687788120, 'tf': '19:32', 'v': 9}, 'description': 'MCX:SILVER23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230705244731', 'high_price': 69462, 'low_price': 68599, 'lp': 68919, 'open_price': 68599, 'original_name': 'MCX:SILVER23JULFUT', 'prev_close_price': 68083, 'short_name': 'SILVER23JULFUT', 'spread': 15, 'symbol': 'MCX:SILVER23JULFUT', 'tt': '1687737600', 'volume': 11059}}], 'message': '', 's': 'ok'}

1687788157560 :: quotes :: {'symbols': 'MCX:SILVER23JULFUT'} :: 1687788157685 :: {'code': 200, 'd': [{'n': 'MCX:SILVER23JULFUT', 's': 'ok', 'v': {'ask': 68950, 'bid': 68934, 'ch': 862, 'chp': 1.27, 'cmd': {'c': 68945, 'h': 68990, 'l': 68919, 'o': 68990, 't': 1687788120, 'tf': '19:32', 'v': 12}, 'description': 'MCX:SILVER23JULFUT', 'exchange': 'MCX', 'fyToken': '1120230705244731', 'high_price': 69462, 'low_price': 68599, 'lp': 68945, 'open_price': 68599, 'original_name': 'MCX:SILVER23JULFUT', 'prev_close_price': 68083, 'short_name': 'SILVER23JULFUT', 'spread': 16, 'symbol': 'MCX:SILVER23JULFUT', 'tt': '1687737600', 'volume': 11062}}], 'message': '', 's': 'ok'}

